,Time (21:00-21:59),P1Card,P2Card
0,210229,Sequential,Sequential
1,210229,Probability,Sequential
2,210231,Sequential,Sequential
3,210231,Probability,Sequential
4,210232,Sequential,Sequential
5,210232,Probability,Sequential
6,210326,Sequential,Sequential
7,210326,Probability,Sequential
8,210327,Sequential,Sequential
9,210327,Probability,Sequential
10,210328,Sequential,Sequential
11,210328,Probability,Sequential
12,210421,Sequential,Sequential
13,210421,Probability,Sequential
14,210427,Sequential,Probability
15,210427,Probability,Probability
16,210432,Sequential,Probability
17,210432,Probability,Probability
18,210433,Sequential,Probability
19,210433,Probability,Probability
20,210433,Sequential,Probability
21,210433,Probability,Probability
22,210434,Sequential,Probability
23,210434,Probability,Probability
24,210435,Sequential,Probability
25,210435,Probability,Probability
26,210436,Sequential,Probability
27,210436,Probability,Probability
28,210522,Sequential,Probability
29,210522,Probability,Probability
30,210524,Sequential,Probability
31,210524,Probability,Probability
32,210527,Sequential,Probability
33,210527,Probability,Probability
34,210535,Sequential,Probability
35,210535,Probability,Sequential
36,210537,Sequential,Sequential
37,210537,Probability,Sequential
38,210543,Sequential,Probability
39,210543,Probability,Sequential
40,210627,Probability,Probability
41,210627,Sequential,Sequential
42,210629,Probability,Probability
43,210629,Sequential,Sequential
44,210630,Probability,Probability
45,210630,Sequential,Conditional
46,210725,Probability,Probability
47,210725,Sequential,Conditional
48,210726,Probability,Probability
49,210726,Sequential,Conditional
50,210728,Probability,Probability
51,210728,Sequential,Conditional
52,210829,Probability,Sequential
53,210830,Probability,Probability
54,210831,Probability,Conditional
55,211127,Probability,Sequential
56,211128,Probability,Probability
57,211128,Probability,Conditional
58,211207,Probability,Sequential
59,211207,Probability,Probability
60,211208,Probability,Conditional
61,211209,Probability,Probability
62,211423,Conditional,Conditional
63,211423,Probability,Probability
64,211426,Conditional,Conditional
65,211426,Probability,Probability
66,211427,Conditional,Conditional
67,211427,Probability,Probability
68,211449,Conditional,Conditional
69,211449,Probability,Sequential
70,211452,Conditional,Sequential
71,211452,Probability,Sequential
72,211455,Conditional,Probability
73,211455,Probability,Sequential
74,211509,Conditional,Probability
75,211509,Probability,Sequential
76,211522,Conditional,Probability
77,211522,Probability,Sequential
78,211532,Conditional,Probability
79,211532,Probability,Sequential
80,211614,Probability,Probability
81,211615,Probability,Sequential
82,211617,Conditional,Probability
83,211617,Probability,Sequential
84,211657,Probability,Probability
85,211700,Probability,Sequential
86,211704,Probability,Conditional
87,211728,Probability,Sequential
88,211728,Sequential,Conditional
89,211733,Probability,Sequential
90,211733,Sequential,Conditional
91,211738,Probability,Sequential
92,211738,Sequential,Conditional
93,211749,Probability,Sequential
94,211749,Sequential,Conditional
95,211750,Probability,Sequential
96,211750,Sequential,Conditional
97,211752,Probability,Sequential
98,211752,Sequential,Conditional
99,211816,Probability,Sequential
100,211818,Probability,Conditional
101,211822,Probability,Sequential
102,211846,Conditional,Conditional
103,211846,Probability,Sequential
104,211848,Conditional,Sequential
105,211848,Probability,Sequential
106,211853,Conditional,Sequential
107,211853,Probability,Sequential
108,211855,Conditional,Sequential
109,211855,Probability,Sequential
110,211916,Sequential,Sequential
111,211916,Probability,Conditional
112,211918,Sequential,Conditional
113,211918,Probability,Conditional
114,211918,Sequential,Conditional
115,211918,Probability,Conditional
116,211921,Sequential,Conditional
117,211921,Probability,Conditional
118,211923,Sequential,Conditional
119,211923,Probability,Sequential
120,211924,Sequential,Conditional
121,211924,Probability,Sequential
122,211948,Sequential,Conditional
123,211948,Probability,Sequential
124,211950,Sequential,Conditional
125,211950,Probability,Sequential
126,211952,Sequential,Conditional
127,211952,Probability,Sequential
128,212047,Conditional,Conditional
129,212047,Probability,Sequential
130,212047,Conditional,Sequential
131,212047,Probability,Sequential
132,212047,Conditional,Sequential
133,212047,Probability,Sequential
134,212050,Conditional,Sequential
135,212050,Probability,Sequential
136,212052,Conditional,Conditional
137,212052,Probability,Conditional
138,212059,Conditional,Conditional
139,212059,Probability,Conditional
140,212211,Sequential,Conditional
141,212211,Conditional,Conditional
142,212211,Probability,Conditional
143,212214,Sequential,Sequential
144,212214,Conditional,Conditional
145,212214,Probability,Sequential
146,212218,Sequential,Conditional
147,212218,Conditional,Sequential
148,212218,Probability,Conditional
149,212226,Sequential,Sequential
150,212226,Conditional,Sequential
151,212226,Probability,Sequential
152,212229,Sequential,Sequential
153,212229,Conditional,Sequential
154,212229,Probability,Sequential
155,212230,Sequential,Sequential
